wl,n
0.312539,0.049195
0.334099,0.055220
0.364981,0.061078
0.386967,0.065120
0.404648,0.068960
0.420001,0.067744
0.439972,0.068302
0.469993,0.066149
0.505027,0.062846
0.545945,0.058647
0.599827,0.052637
0.661955,0.048526
0.750056,0.049548
0.859807,0.053026
1.009643,0.064101
1.175206,0.077963
1.344731,0.098586
1.530669,0.122821
1.689158,0.147176
1.839528,0.175119
1.980578,0.206644
2.119388,0.240865
2.237982,0.262406

wl,k
0.312539,1.006191
0.334099,1.131834
0.364981,1.326171
0.386967,1.474192
0.404648,1.537126
0.420001,1.631131
0.439972,1.756891
0.469993,1.882120
0.505027,2.068562
0.545945,2.233705
0.599827,2.479268
0.661955,2.761404
0.750056,3.219077
0.859807,3.724622
1.009643,4.352483
1.175206,5.111368
1.344731,5.822347
1.530669,6.668215
1.689158,7.419681
1.839528,8.094484
1.980578,8.800154
2.119388,9.451350
2.237982,9.967390
